Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	7.94312	8.02156	8.09251	0.00545593	0.00565706	0.0058852
0.025	8.07722	8.16286	8.24751	0.00504333	0.00526446	0.00549837
0.05	8.29335	8.37924	8.44304	0.00456909	0.00472007	0.00493064
0.075	8.44161	8.5291	8.61329	0.00419496	0.00438036	0.00457354
0.1	8.52652	8.59938	8.66775	0.00408097	0.00422511	0.0043826
0.125	8.67297	8.74879	8.82901	0.00376556	0.00391962	0.00407602
0.15	8.79897	8.87773	8.95865	0.00353011	0.00367365	0.00382328
0.175	8.96863	9.03926	9.13797	0.00322809	0.00339436	0.00351114
0.2	9.10802	9.18692	9.26194	0.00303603	0.00314922	0.00327537
0.225	9.18989	9.2603	9.33625	0.00292436	0.0030371	0.00314696
0.25	9.39169	9.48463	9.55936	0.00262018	0.00271752	0.0028447
0.275	9.55225	9.64657	9.71743	0.00242197	0.00250824	0.00262767
0.3	9.71261	9.78417	9.86548	0.00225511	0.00234406	0.00242911
0.325	9.86975	9.95186	10.0233	0.00208424	0.00215904	0.00224917
0.35	10.0506	10.1384	10.2244	0.00188886	0.00197158	0.00205642
0.375	10.1504	10.2297	10.3182	0.00180474	0.001884	0.00195867
0.4	10.3491	10.4419	10.5188	0.00163986	0.00169883	0.00177753
0.425	10.5282	10.5987	10.6733	0.00151881	0.00157409	0.00162912
0.45	10.6539	10.7479	10.8236	0.00141298	0.00146452	0.00153328
0.475	10.8573	10.9418	11.0179	0.00128513	0.00133319	0.00138945
0.5	11.0293	11.1271	11.2089	0.00117252	0.0012192	0.00127822
0.525	11.1185	11.2099	11.2916	0.00112793	0.00117173	0.00122471
0.55	11.316	11.399	11.4865	0.00102648	0.00106995	0.00111368
0.575	11.5279	11.6255	11.72	0.000917934	0.000962099	0.00100618
0.6	11.7501	11.8272	11.9042	0.000840558	0.000872036	0.000905884
0.625	11.8966	11.9747	12.0432	0.000787248	0.000812774	0.000843982
0.65	12.0918	12.1781	12.2584	0.000711596	0.00073802	0.00076931
0.675	12.1783	12.2573	12.3508	0.000680021	0.000710947	0.000737852
0.7	12.3619	12.4328	12.5196	0.000628419	0.000654137	0.00067676
0.725	12.5603	12.6314	12.7092	0.000574581	0.000595774	0.000616243
0.75	12.7044	12.7744	12.8603	0.000535268	0.000557147	0.000575578
0.775	12.8823	12.9721	13.0633	0.000486985	0.000507576	0.00052942
0.8	13.0476	13.158	13.2325	0.000449284	0.000465374	0.000490208
0.825	13.2803	13.36	13.4375	0.00040839	0.000423927	0.00043951
0.85	13.4307	13.5199	13.5905	0.000380459	0.000393057	0.000410221
0.875	13.7007	13.7775	13.8511	0.000337019	0.000348824	0.000361362
0.9	13.7862	13.877	13.9569	0.00032084	0.000332882	0.000347403
0.925	13.9115	13.9992	14.0962	0.000300892	0.000314718	0.000327647
0.95	14.191	14.2806	14.3634	0.000266171	0.000276721	0.000288052
0.975	14.451	14.5394	14.6222	0.000236221	0.000245321	0.000255483
