Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	7.66449	7.7406	7.82241	0.00625893	0.00653341	0.00678487
0.025	7.80952	7.87123	7.9525	0.00585943	0.00610615	0.00630038
0.05	7.96009	8.04808	8.13298	0.00534536	0.00558358	0.00583756
0.075	8.3027	8.38471	8.46952	0.00451522	0.00471067	0.00490728
0.1	8.40578	8.50413	8.6028	0.00422163	0.00443179	0.00465745
0.125	8.62268	8.72576	8.81245	0.00379985	0.0039664	0.00417649
0.15	8.87418	8.94489	9.01283	0.00343504	0.0035533	0.00368059
0.175	8.96779	9.05489	9.14791	0.00321079	0.00336373	0.00351207
0.2	9.30105	9.39807	9.51329	0.00267958	0.00283943	0.00297743
0.225	9.64146	9.72005	9.81004	0.0023142	0.0024202	0.00251576
0.25	9.74839	9.83793	9.9251	0.00218981	0.00228255	0.00238721
0.275	9.96084	10.0671	10.1595	0.0019529	0.00204007	0.00215143
0.3	10.176	10.2528	10.3463	0.00178009	0.00186307	0.00193429
0.325	10.4338	10.5307	10.6215	0.00155776	0.00162715	0.00170599
0.35	10.6825	10.7609	10.8646	0.00138594	0.00145612	0.00151195
0.375	10.9008	11.0032	11.0956	0.00123823	0.00129489	0.00136016
0.4	11.139	11.243	11.3437	0.00109902	0.00115347	0.0012129
0.425	11.4806	11.5759	11.6575	0.000945432	0.000983488	0.00103091
0.45	11.5262	11.6305	11.7103	0.000922493	0.000957696	0.0010079
0.475	11.8989	11.979	12.0592	0.000780882	0.000811876	0.000843062
0.5	12.0546	12.1556	12.2482	0.000714352	0.00074587	0.000783348
0.525	12.4391	12.5397	12.6274	0.000596823	0.000621965	0.000652651
0.55	12.5831	12.686	12.787	0.000554135	0.000580584	0.000610434
0.575	12.8719	12.9725	13.0662	0.000485647	0.000507818	0.000531984
0.6	13.1191	13.2258	13.3247	0.000430716	0.00045072	0.00047407
0.625	13.482	13.5841	13.6751	0.00036557	0.000381379	0.000400092
0.65	13.7885	13.8846	13.9854	0.000317121	0.000331745	0.000346855
0.675	13.9721	14.0707	14.1597	0.000292216	0.000304411	0.00031891
0.7	14.2787	14.3678	14.5028	0.00024944	0.000265435	0.000276506
0.725	14.4811	14.5634	14.6596	0.000232257	0.000242714	0.000252014
0.75	14.8395	14.931	15.0552	0.000193747	0.000205017	0.000213824
0.775	15.066	15.1728	15.264	0.000176192	0.00018361	0.000192804
0.8	15.3268	15.4221	15.5325	0.000155964	0.000163956	0.000171316
0.825	15.5759	15.6907	15.78	0.00013954	0.000145247	0.000153065
0.85	15.8934	16.0046	16.1058	0.000120385	0.000126003	0.000132422
0.875	16.3099	16.4147	16.5152	0.000100257	0.000104718	0.000109803
0.9	16.5712	16.661	16.7765	8.95268e-05	9.37818e-05	9.76612e-05
0.925	16.8942	17.006	17.0859	7.75703e-05	8.04501e-05	8.44862e-05
0.95	17.1045	17.1952	17.2881	7.09184e-05	7.38952e-05	7.6943e-05
0.975	17.4295	17.5453	17.6626	6.00651e-05	6.33127e-05	6.65889e-05
