Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	2.5988	2.69416	2.76681	0.096238	0.100717	0.106945
0.025	2.89003	2.96526	3.04145	0.0811633	0.0850708	0.089129
0.05	3.38279	3.46413	3.5189	0.0606727	0.0627134	0.0658806
0.075	3.6577	3.74227	3.85653	0.0495527	0.0530524	0.0558106
0.1	4.00177	4.1199	4.17961	0.0409132	0.0423816	0.0454525
0.125	4.36131	4.45361	4.57818	0.0323816	0.0348276	0.0367641
0.15	4.86474	4.9622	5.09364	0.0240137	0.0259072	0.0274109
0.175	5.26036	5.36168	5.49828	0.0190352	0.0205839	0.0218165
0.2	5.7064	5.84729	5.95409	0.0146832	0.015601	0.0169032
0.225	6.24361	6.35395	6.46526	0.0110004	0.011712	0.0124642
0.25	6.65292	6.80498	6.92016	0.00852295	0.00909038	0.00989934
0.275	7.23201	7.35073	7.47041	0.00627211	0.00670355	0.00716149
0.3	7.71268	7.83527	8.00021	0.00467718	0.00512366	0.00548342
0.325	8.16688	8.29301	8.4201	0.00371095	0.0039798	0.00426622
0.35	8.80718	8.93814	9.07007	0.00259827	0.00279276	0.00300047
0.375	9.24748	9.4266	9.56207	0.00198639	0.0021386	0.0023582
0.4	9.92805	10.0671	10.207	0.00139905	0.00150943	0.00162779
0.425	10.5374	10.6328	10.7766	0.0010279	0.001111	0.00120029
0.45	10.9214	11.0672	11.214	0.000811838	0.000878671	0.000950574
0.475	11.61	11.7603	11.9116	0.000557865	0.000605072	0.000655975
0.5	12.2683	12.4227	12.5263	0.000401273	0.000424139	0.000460729
0.525	12.9974	13.2096	13.3164	0.0002631	0.000278516	0.00031192
0.55	13.7476	13.9111	14.0207	0.000180812	0.00019731	0.000209084
0.575	14.3519	14.5189	14.6869	0.000126925	0.00013876	0.00015163
0.6	14.9691	15.1967	15.3686	8.84454e-05	9.68707e-05	0.000109288
0.625	15.8317	16.0071	16.1835	5.74935e-05	6.31058e-05	6.9234e-05
0.65	16.4202	16.5391	16.7184	4.33578e-05	4.76561e-05	5.07428e-05
0.675	17.0799	17.2621	17.4452	2.95705e-05	3.2562e-05	3.58397e-05
0.7	17.8763	18.0627	18.2501	1.9372e-05	2.13746e-05	2.35733e-05
0.725	18.6909	18.8179	19.0091	1.30098e-05	1.43813e-05	1.53711e-05
0.75	19.2012	19.3299	19.5237	9.93604e-06	1.09971e-05	1.17637e-05
0.775	20.1108	20.2425	20.4408	6.15053e-06	6.8221e-06	7.56348e-06
0.8	20.7734	20.9072	21.1087	4.33947e-06	4.82075e-06	5.16957e-06
0.825	21.5827	21.7874	21.9245	2.83597e-06	3.0459e-06	3.38897e-06
0.85	22.2689	22.4769	22.616	1.97827e-06	2.12691e-06	2.37014e-06
0.875	23.1065	23.2476	23.4601	1.27531e-06	1.42425e-06	1.53269e-06
0.9	23.8879	24.0314	24.2474	8.47204e-07	9.47768e-07	1.02109e-06
0.925	24.6823	24.9013	25.0477	5.59284e-07	6.03431e-07	6.76006e-07
0.95	25.4897	25.7122	25.861	3.669e-07	3.96314e-07	4.44741e-07
0.975	26.16	26.3854	26.6117	2.48735e-07	2.79652e-07	3.14264e-07
