Parameter	Lower_CI	Upper_CI	Median_CI
0.304444	0.00557016	0.00622113	0.00589137
0.306667	0.00565844	0.00631465	0.00597606
0.308889	0.00568967	0.00634151	0.00600977
0.311111	0.00573198	0.00639345	0.00605931
0.313333	0.0057425	0.00640624	0.00607066
0.315556	0.00578199	0.00643319	0.00609924
0.317778	0.00584971	0.00650796	0.00616829
0.32	0.00588416	0.00656162	0.00621424
0.322222	0.00590129	0.00657476	0.00622968
0.324444	0.00597158	0.00662963	0.0062925
0.326667	0.00598629	0.0066571	0.00631597
0.328889	0.00598203	0.0066568	0.00631399
0.331111	0.00604536	0.00674307	0.00638656
0.333333	0.00609889	0.00678626	0.00643811
0.335556	0.00612705	0.00680722	0.00645926
0.337778	0.0061974	0.00688523	0.00654237
0.34	0.00621489	0.00691501	0.00656299
0.342222	0.00623897	0.00693281	0.00657803
0.344444	0.00631381	0.00702962	0.00666738
0.346667	0.00632215	0.0070288	0.00667446
0.348889	0.00636905	0.00707109	0.00671718
0.351111	0.00639813	0.00710296	0.00674354
0.353333	0.00643472	0.00715614	0.006794
0.355556	0.00650475	0.00722234	0.00686082
0.357778	0.00652766	0.00725057	0.00688206
0.36	0.00658216	0.00730879	0.00694563
0.362222	0.00659565	0.00733667	0.00695643
0.364444	0.00664067	0.0073648	0.0069938
0.366667	0.00670368	0.00743386	0.00706377
0.368889	0.00666511	0.00741365	0.00703828
0.371111	0.00673076	0.00747069	0.00709124
0.373333	0.00680114	0.00754187	0.00716272
0.375556	0.00684945	0.00759798	0.00722052
0.377778	0.00682592	0.00756871	0.00719711
0.38	0.00688334	0.00764511	0.00725899
0.382222	0.00694482	0.00770878	0.00732541
0.384444	0.00697316	0.00771842	0.00733819
0.386667	0.00697708	0.00773956	0.00735341
0.388889	0.00703867	0.0078031	0.00741835
0.391111	0.00707181	0.00783955	0.00745733
0.393333	0.00709071	0.00786599	0.00746828
0.395556	0.00716968	0.00792565	0.00753713
0.397778	0.00720299	0.007992	0.00758936
0.4	0.00720056	0.00798362	0.00759033
0.402222	0.00722186	0.00799261	0.00760531
0.404444	0.00727475	0.00806727	0.00767558
0.406667	0.00732963	0.00811937	0.0077221
0.408889	0.00736015	0.00815504	0.00775557
0.411111	0.00739615	0.00819996	0.00779627
0.413333	0.00739855	0.00820589	0.00779785
0.415556	0.00746569	0.00827273	0.00786068
0.417778	0.00751251	0.00833336	0.00791654
0.42	0.00755143	0.00835725	0.00794733
0.422222	0.00754856	0.0083771	0.00795834
0.424444	0.0075994	0.00841913	0.00800447
0.426667	0.00762752	0.00845627	0.00803638
0.428889	0.00767617	0.0085233	0.00809597
0.431111	0.00772814	0.00857049	0.0081288
0.433333	0.00777375	0.00862453	0.00819433
0.435556	0.00779265	0.00863717	0.00820727
0.437778	0.00785252	0.00868645	0.00825987
0.44	0.00785382	0.00870367	0.00826486
0.442222	0.00791952	0.0087792	0.00834543
0.444444	0.00796248	0.00882103	0.00838149
0.446667	0.00800915	0.00888881	0.00843956
0.448889	0.00799705	0.00886663	0.00842848
0.451111	0.00800704	0.00888868	0.00844417
0.453333	0.00809097	0.0089737	0.00852805
0.455556	0.00813796	0.00901972	0.00856953
0.457778	0.00813457	0.00902705	0.00857914
0.46	0.00817951	0.00906956	0.00861651
0.462222	0.00820211	0.00910898	0.00864573
0.464444	0.00824526	0.00916036	0.00868957
0.466667	0.00830437	0.0092178	0.00875206
0.468889	0.00831579	0.00921663	0.00875492
0.471111	0.00831353	0.00923403	0.00876425
0.473333	0.00835618	0.00926933	0.00880525
0.475556	0.00842015	0.00933311	0.00887111
0.477778	0.00842306	0.00933787	0.00886746
0.48	0.00850949	0.00944003	0.00896678
0.482222	0.0085405	0.00948787	0.00901043
0.484444	0.00856445	0.00951415	0.00901931
0.486667	0.00858456	0.0095351	0.00904486
0.488889	0.00866513	0.00963964	0.00913423
0.491111	0.00868317	0.00963537	0.00915541
0.493333	0.00864882	0.00959878	0.00912087
0.495556	0.00867631	0.00964047	0.0091538
0.497778	0.00881556	0.00980046	0.0092933
0.5	0.00876095	0.00973945	0.00923117
0.502222	0.00882404	0.00981295	0.00931134
0.504444	0.00884713	0.00981979	0.00931458
0.506667	0.00888063	0.00985687	0.00936055
0.508889	0.00894659	0.00995358	0.00943912
0.511111	0.00897336	0.00997023	0.00946404
0.513333	0.00893724	0.00991844	0.00941556
0.515556	0.00898991	0.0100162	0.00949461
0.517778	0.00908524	0.0100973	0.00957901
0.52	0.00905036	0.0100649	0.00955064
0.522222	0.00907522	0.0100851	0.00955961
0.524444	0.0091257	0.0101812	0.00964285
0.526667	0.00918876	0.0102244	0.00969687
0.528889	0.00919184	0.0102311	0.00971535
0.531111	0.00922858	0.0102775	0.00973969
0.533333	0.00931656	0.0103942	0.00983596
0.535556	0.00929854	0.0103741	0.00981879
0.537778	0.00936116	0.0104602	0.00988913
0.54	0.00937717	0.0104352	0.00989203
0.542222	0.0093955	0.0104462	0.00991717
0.544444	0.00939541	0.0104905	0.0099283
0.546667	0.00944013	0.0105261	0.00997314
0.548889	0.00952424	0.0106302	0.0100724
0.551111	0.00954815	0.0106432	0.0100892
0.553333	0.00956895	0.0106707	0.0101048
0.555556	0.00952241	0.0106474	0.0100727
0.557778	0.00962367	0.010753	0.0101752
0.56	0.00965541	0.0107899	0.0102123
0.562222	0.00968845	0.0108468	0.0102567
0.564444	0.00970655	0.0108599	0.010273
0.566667	0.0096975	0.0108708	0.0102652
0.568889	0.00974709	0.0109061	0.0103225
0.571111	0.00983539	0.0110169	0.0104091
0.573333	0.00983125	0.0110136	0.0104181
0.575556	0.00990591	0.0110701	0.0104887
0.577778	0.00984532	0.011058	0.0104395
0.58	0.00990495	0.0110979	0.0104704
0.582222	0.0099589	0.0111781	0.0105542
0.584444	0.0099614	0.0111759	0.0105464
0.586667	0.0099799	0.0112345	0.0105837
0.588889	0.00995312	0.0111987	0.0105514
0.591111	0.0100601	0.0113221	0.0106689
0.593333	0.0100948	0.0113532	0.0107026
0.595556	0.0101548	0.0114124	0.0107719
0.597778	0.0101313	0.0113984	0.0107379
0.6	0.010149	0.0114317	0.0107674
0.602222	0.0101908	0.0115129	0.010827
0.604444	0.0102671	0.0115591	0.0108957
0.606667	0.0102491	0.0115943	0.0109057
0.608889	0.0103047	0.0116142	0.0109389
0.611111	0.010347	0.0116612	0.0109902
0.613333	0.0103514	0.0116814	0.0109971
0.615556	0.0104212	0.0117498	0.0110624
0.617778	0.010471	0.0118429	0.0111333
0.62	0.0104303	0.0117633	0.0110833
0.622222	0.0104003	0.0118533	0.0110777
0.624444	0.0105018	0.011902	0.0111729
0.626667	0.0105258	0.0119358	0.0111998
0.628889	0.0105124	0.011957	0.0111937
0.631111	0.0105421	0.0119835	0.0112407
0.633333	0.0106087	0.0120722	0.01131
0.635556	0.0106513	0.0121815	0.0113725
0.637778	0.0107124	0.0121913	0.0114162
0.64	0.0106922	0.0122054	0.0114051
0.642222	0.010734	0.0122466	0.0114641
0.644444	0.0107163	0.0122266	0.011433
0.646667	0.0107827	0.0123321	0.0115326
0.648889	0.0107848	0.012344	0.011532
0.651111	0.0107955	0.0123847	0.0115563
0.653333	0.0108503	0.0124898	0.011607
0.655556	0.0108743	0.0125509	0.0116601
0.657778	0.0109265	0.0126402	0.0117187
0.66	0.0109506	0.0126536	0.0117292
0.662222	0.0109145	0.0125722	0.0116936
0.664444	0.0109679	0.0127045	0.0117745
0.666667	0.0109731	0.0127172	0.0117911
0.668889	0.0110365	0.0128282	0.0118491
0.671111	0.0110366	0.0126422	0.0118083
0.673333	0.0110894	0.0128453	0.0119112
0.675556	0.0111892	0.0130483	0.0120305
0.677778	0.0112284	0.0130374	0.0120809
0.68	0.0112244	0.0130393	0.0120787
0.682222	0.0113023	0.0132572	0.012192
0.684444	0.0112817	0.0132446	0.0121677
0.686667	0.0112231	0.0131764	0.0121254
0.688889	0.0112703	0.0131594	0.0121389
0.691111	0.0113943	0.0134079	0.0123134
0.693333	0.0113511	0.0133402	0.0122877
0.695556	0.0113541	0.0134038	0.0122978
0.697778	0.0113319	0.0133523	0.012285
0.7	0.011422	0.0135518	0.0124001
0.702222	0.0113892	0.0135069	0.0123534
0.704444	0.0114273	0.0135226	0.0123815
0.706667	0.0115166	0.0136285	0.0124726
0.708889	0.0115978	0.0138111	0.0126151
0.711111	0.0115269	0.0138335	0.0125689
0.713333	0.011631	0.0139011	0.0126694
0.715556	0.0115585	0.013931	0.0126295
0.717778	0.0116631	0.0141036	0.0127549
0.72	0.0116974	0.0141237	0.0128
0.722222	0.0117745	0.0142641	0.012889
0.724444	0.0117238	0.0142217	0.0128677
0.726667	0.0117574	0.0142031	0.0128629
0.728889	0.0117818	0.0142913	0.0129403
0.731111	0.0119164	0.0144779	0.0131003
0.733333	0.0118876	0.0144486	0.0130544
0.735556	0.0119305	0.0146397	0.0131533
0.737778	0.0120032	0.0146218	0.0132008
0.74	0.0120064	0.0147609	0.0132407
0.742222	0.0121031	0.0149482	0.013399
0.744444	0.0120953	0.0149871	0.013389
0.746667	0.0120901	0.0150236	0.0134202
0.748889	0.0121098	0.0149629	0.0134204
0.751111	0.0121723	0.0151345	0.0135441
0.753333	0.0122479	0.015194	0.0136143
0.755556	0.0122373	0.0152395	0.0136223
0.757778	0.0122945	0.0152127	0.0136276
0.76	0.0124225	0.0157071	0.013883
0.762222	0.0124685	0.0155884	0.0139157
0.764444	0.0125322	0.0156891	0.0139881
0.766667	0.0125226	0.0157036	0.0139777
0.768889	0.0126214	0.0159968	0.0141735
0.771111	0.0124924	0.0158685	0.0140399
0.773333	0.0126528	0.0159714	0.0141604
0.775556	0.0127592	0.0162992	0.0143676
0.777778	0.0127494	0.016124	0.014283
0.78	0.0127084	0.0162075	0.0143283
0.782222	0.0128794	0.0164599	0.01452
0.784444	0.0129953	0.0166665	0.0146935
0.786667	0.0130903	0.0168868	0.01482
0.788889	0.013058	0.0169389	0.0148475
0.791111	0.0131332	0.0171175	0.0149757
0.793333	0.0132222	0.0171318	0.0150506
0.795556	0.0134254	0.0174328	0.0153033
0.797778	0.013297	0.0172785	0.0150929
0.8	0.0132997	0.0172652	0.0151682
