Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	16.0071	16.1835	16.3608	5.23563e-05	5.74935e-05	6.31058e-05
0.025	16.5391	16.7184	16.8987	4.06995e-05	4.33578e-05	4.76561e-05
0.05	16.959	17.1405	17.323	3.15343e-05	3.58397e-05	3.81963e-05
0.075	17.4452	17.6293	17.8144	2.43529e-05	2.68414e-05	2.95705e-05
0.1	18.1251	18.2501	18.4384	1.7549e-05	1.9372e-05	2.06862e-05
0.125	18.6276	18.8179	19.0091	1.30098e-05	1.43813e-05	1.58901e-05
0.15	19.3299	19.459	19.6534	9.28378e-06	1.02784e-05	1.09971e-05
0.175	19.7184	19.9141	20.0452	7.56348e-06	8.09989e-06	8.97319e-06
0.2	20.2425	20.4408	20.5735	5.73848e-06	6.15053e-06	6.8221e-06
0.225	20.8403	21.0415	21.2436	4.04456e-06	4.49454e-06	4.99225e-06
0.25	21.5147	21.6508	21.8559	2.93914e-06	3.27069e-06	3.51134e-06
0.275	22.0619	22.2689	22.4769	2.12691e-06	2.37014e-06	2.63997e-06
0.3	22.7556	22.9659	23.177	1.47752e-06	1.64905e-06	1.83964e-06
0.325	23.2476	23.3892	23.6023	1.18447e-06	1.32321e-06	1.42425e-06
0.35	23.8164	24.0314	24.1753	8.79526e-07	9.47768e-07	1.05978e-06
0.375	24.4644	24.6823	24.9013	6.03431e-07	6.76006e-07	7.56956e-07
0.4	25.1211	25.342	25.4897	4.44741e-07	4.80145e-07	5.38396e-07
0.425	25.7866	25.9356	26.16	3.14264e-07	3.52995e-07	3.81334e-07
0.45	26.0851	26.3101	26.5361	2.58654e-07	2.90758e-07	3.26695e-07
0.475	26.6873	26.9149	27.1435	1.88897e-07	2.12608e-07	2.39184e-07
0.5	27.8351	27.9899	28.223	1.08113e-07	1.2195e-07	1.32111e-07
0.525	28.0675	28.223	28.457	9.58005e-08	1.08113e-07	1.17157e-07
0.55	28.928	29.0859	29.2442	6.38069e-08	6.92387e-08	7.51172e-08
0.575	29.4824	29.6418	29.8817	4.59237e-08	5.19719e-08	5.64256e-08
0.6	30.0421	30.203	30.4451	3.43455e-08	3.89114e-08	4.22768e-08
0.625	30.7694	30.9322	31.1772	2.35517e-08	2.67204e-08	2.90587e-08
0.65	31.4232	31.5877	31.7526	1.75112e-08	1.90635e-08	2.07491e-08
0.675	31.8353	32.0838	32.2501	1.35553e-08	1.47662e-08	1.67818e-08
0.7	32.8353	33.0034	33.172	8.4355e-09	9.19961e-09	1.00308e-08
0.725	33.3411	33.5105	33.7655	6.21711e-09	7.08794e-09	7.73323e-09
0.75	33.8507	34.0215	34.1927	4.9917e-09	5.45071e-09	5.95068e-09
0.775	34.6225	34.8817	35.055	3.20526e-09	3.50366e-09	4.00258e-09
0.8	35.3158	35.4902	35.665	2.34336e-09	2.5634e-09	2.80352e-09
0.825	35.928	36.104	36.2803	1.70884e-09	1.87067e-09	2.0474e-09
0.85	36.5456	36.723	36.9008	1.24293e-09	1.36164e-09	1.49137e-09
0.875	37.3473	37.5266	37.7064	8.22343e-10	9.01733e-10	9.8858e-10
0.9	37.8866	38.0672	38.2483	6.22919e-10	6.83486e-10	7.49785e-10
0.925	38.5207	38.7028	38.8854	4.49438e-10	4.935e-10	5.41768e-10
0.95	39.0684	39.3436	39.5277	3.23438e-10	3.55408e-10	4.09224e-10
0.975	39.8046	39.9897	40.1753	2.32164e-10	2.553e-10	2.80682e-10
