Parameter	Lower_CI	Upper_CI	Median_CI
7.77778	0.000376527	0.000509868	0.000441465
7.83333	0.000379412	0.000510616	0.000443215
7.88889	0.000373514	0.000506477	0.000438568
7.94444	0.00037284	0.000508395	0.000437864
8	0.000376829	0.000506542	0.000439805
8.05556	0.000373179	0.000505757	0.0004367
8.11111	0.000375707	0.000508377	0.000440627
8.16667	0.00036862	0.000499219	0.000431333
8.22222	0.000372595	0.000504234	0.000436455
8.27778	0.000368988	0.00050121	0.000434169
8.33333	0.00036848	0.000496257	0.000430806
8.38889	0.000370864	0.000500944	0.000433022
8.44444	0.000369969	0.000503039	0.000434304
8.5	0.000371611	0.000501309	0.000434173
8.55556	0.00036324	0.000493281	0.00042598
8.61111	0.00036979	0.000498595	0.000430639
8.66667	0.000364262	0.000490115	0.000424326
8.72222	0.000362098	0.000492775	0.000425193
8.77778	0.000363817	0.000492557	0.000426236
8.83333	0.000366539	0.000494261	0.000427843
8.88889	0.000364031	0.000492899	0.000425626
8.94444	0.000359731	0.000488266	0.000422051
9	0.000363168	0.000490194	0.000424107
9.05556	0.000361441	0.000488531	0.000421686
9.11111	0.000359979	0.000486936	0.000421529
9.16667	0.000365437	0.000494738	0.000428991
9.22222	0.000362902	0.000489112	0.000423684
9.27778	0.000363218	0.000489735	0.00042418
9.33333	0.00036126	0.00048785	0.000422217
9.38889	0.000357647	0.000484106	0.000418202
9.44444	0.000353406	0.000479114	0.000414468
9.5	0.000356715	0.000485178	0.00041877
9.55556	0.000359998	0.000487206	0.000421713
9.61111	0.000360412	0.000485331	0.000421501
9.66667	0.000357208	0.000482299	0.000417331
9.72222	0.000356156	0.000481848	0.00041702
9.77778	0.000356242	0.000484852	0.000417517
9.83333	0.000354534	0.000478869	0.000416209
9.88889	0.000357212	0.000480551	0.000415513
9.94444	0.000355119	0.000478581	0.000414448
10	0.000355606	0.000480307	0.000415511
10.0556	0.000357017	0.000483312	0.000418494
10.1111	0.000355034	0.000482173	0.000415577
10.1667	0.00035363	0.000478342	0.000413496
10.2222	0.000354325	0.000476587	0.000412724
10.2778	0.000355073	0.000479841	0.000414924
10.3333	0.00035303	0.000477288	0.000412659
10.3889	0.000353342	0.000478946	0.000414031
10.4444	0.000350656	0.000473377	0.000409903
10.5	0.000354725	0.000483079	0.000416333
10.5556	0.000352972	0.000480498	0.000413584
10.6111	0.000352917	0.000474513	0.000411352
10.6667	0.00034909	0.000472743	0.0004096
10.7222	0.000352886	0.000477239	0.00041321
10.7778	0.000351773	0.000475454	0.000410386
10.8333	0.000348691	0.000471772	0.000408423
10.8889	0.000344289	0.000467161	0.000403143
10.9444	0.000349475	0.000474653	0.000409015
11	0.000345013	0.000466332	0.000403494
11.0556	0.00034431	0.000466841	0.000404662
11.1111	0.000346847	0.000467298	0.000404795
11.1667	0.00034643	0.000469237	0.000406218
11.2222	0.000346175	0.00046758	0.000404928
11.2778	0.000344005	0.000465595	0.000402066
11.3333	0.000350616	0.000473503	0.000409828
11.3889	0.000344728	0.000463215	0.000402765
11.4444	0.000347452	0.000469401	0.000406301
11.5	0.000346018	0.000468774	0.000405508
11.5556	0.000344108	0.000465081	0.000402223
11.6111	0.000342505	0.000463852	0.000401678
