Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	2.48201	2.55176	2.62248	0.10536	0.110171	0.115155
0.025	2.84042	2.915	2.99055	0.0837517	0.0877593	0.0919201
0.05	3.11861	3.19674	3.30241	0.0691785	0.0737854	0.0774028
0.075	3.60186	3.68578	3.77067	0.0521587	0.0548782	0.0586873
0.1	3.85653	3.94335	4.03114	0.0446677	0.0470569	0.050409
0.125	4.33076	4.42273	4.54688	0.0329789	0.0354632	0.0374296
0.15	4.67273	4.76826	4.86474	0.0274109	0.0289892	0.0306451
0.175	5.12677	5.26036	5.39567	0.0201867	0.0218165	0.0235595
0.2	5.60186	5.7064	5.84729	0.015601	0.0169032	0.0179414
0.225	5.98991	6.09799	6.24361	0.0127243	0.0135336	0.014388
0.25	6.50258	6.61517	6.72874	0.00948717	0.0101113	0.0107718
0.275	7.11426	7.23201	7.35073	0.00670355	0.00716149	0.00764731
0.3	7.55074	7.67204	7.7943	0.00524114	0.00560831	0.00599854
0.325	8.12505	8.25086	8.37763	0.00379867	0.00407327	0.00436577
0.35	8.59107	8.72041	8.85073	0.00292972	0.00314666	0.00337816
0.375	9.24748	9.38166	9.51681	0.00203599	0.00219167	0.0023582
0.4	9.79	9.97428	10.1136	0.00147178	0.00158742	0.00175463
0.425	10.3009	10.4425	10.5851	0.00114006	0.00123149	0.00132965
0.45	11.0672	11.214	11.3617	0.000749748	0.000811838	0.000878671
0.475	11.5104	11.66	11.8106	0.000588938	0.00063858	0.000710837
0.5	12.2683	12.4227	12.5263	0.000401273	0.000424139	0.000460729
0.525	12.8394	12.9446	13.1033	0.000294775	0.000320839	0.000339396
0.55	13.4773	13.6392	13.802	0.000203117	0.000221515	0.000241469
0.575	14.1306	14.241	14.4074	0.00014722	0.000160825	0.000170543
0.6	14.7995	14.9691	15.0827	0.000102903	0.000109288	0.00011957
0.625	15.5415	15.7153	15.89	6.71313e-05	7.36278e-05	8.07158e-05
0.65	16.1835	16.3608	16.5391	4.76561e-05	5.23563e-05	5.74935e-05
0.675	16.959	17.1405	17.323	3.15343e-05	3.47138e-05	3.81963e-05
0.7	17.6293	17.8144	18.0005	2.20849e-05	2.43529e-05	2.68414e-05
0.725	18.4384	18.6276	18.8179	1.43813e-05	1.58901e-05	1.7549e-05
0.75	19.1371	19.2655	19.459	1.02784e-05	1.13742e-05	1.21658e-05
0.775	20.0452	20.1766	20.3746	6.36703e-06	7.06114e-06	7.56348e-06
0.8	20.7067	20.9072	21.0415	4.49454e-06	4.82075e-06	5.35292e-06
0.825	21.5147	21.6508	21.8559	2.93914e-06	3.27069e-06	3.51134e-06
0.85	22.2689	22.4769	22.616	1.97827e-06	2.20519e-06	2.37014e-06
0.875	22.8957	23.1065	23.3184	1.37284e-06	1.53269e-06	1.71037e-06
0.9	23.8879	24.0314	24.1753	8.79526e-07	9.47768e-07	1.02109e-06
0.925	24.4644	24.6096	24.8282	6.26745e-07	7.02015e-07	7.56956e-07
0.95	25.2683	25.4158	25.5638	4.27997e-07	4.62116e-07	4.98852e-07
0.975	26.235	26.4607	26.6117	2.48735e-07	2.68955e-07	3.02291e-07
