Parameter	Lower_CI	Upper_CI	Median_CI
0.366806	0.0082454	0.00919491	0.0087077
0.369444	0.00829523	0.0092339	0.00875766
0.372083	0.00820267	0.00914894	0.00866151
0.374722	0.00816665	0.00910474	0.0086271
0.377361	0.00810683	0.00902629	0.00855272
0.38	0.00802019	0.00894595	0.00847375
0.382639	0.00797555	0.0089187	0.00844211
0.385278	0.00797056	0.00890025	0.00841751
0.387917	0.00790685	0.00882233	0.00835432
0.390556	0.0078632	0.00876956	0.00831776
0.393194	0.00778801	0.00869746	0.0082387
0.395833	0.00776878	0.00867207	0.00822068
0.398472	0.00772831	0.00863497	0.00817137
0.401111	0.00770867	0.00861001	0.00814738
0.40375	0.00759908	0.00849448	0.0080397
0.406389	0.0075585	0.00842855	0.00798541
0.409028	0.00750168	0.00839592	0.00794104
0.411667	0.00749039	0.0083539	0.00791217
0.414306	0.00739201	0.00827208	0.0078329
0.416944	0.00738857	0.00825225	0.00781769
0.419583	0.00734106	0.00819435	0.00775944
0.422222	0.00727937	0.00812566	0.00769338
0.424861	0.00725751	0.00810661	0.00767821
0.4275	0.00717717	0.00802624	0.00759509
0.430139	0.0071614	0.00801078	0.00757343
0.432778	0.00714398	0.00797772	0.00755076
0.435417	0.00709009	0.00791219	0.00749369
0.438056	0.00707219	0.00788541	0.00747276
0.440694	0.00693959	0.00776179	0.00735112
0.443333	0.0068979	0.00771743	0.00730164
0.445972	0.0068518	0.00765146	0.00724826
0.448611	0.00677124	0.00758148	0.00717708
0.45125	0.00682339	0.00762258	0.00721593
0.453889	0.00670289	0.00752547	0.00711337
0.456528	0.00667385	0.0074664	0.00706406
0.459167	0.00664742	0.00745281	0.00704652
0.461806	0.00656264	0.00734789	0.00694816
0.464444	0.00651346	0.00729551	0.0069008
0.467083	0.00645967	0.00723404	0.00684083
0.469722	0.00642094	0.00720948	0.00680093
0.472361	0.00636998	0.00715659	0.00675378
0.475	0.0063299	0.00709949	0.00670944
0.477639	0.00628764	0.0070439	0.00665976
0.480278	0.00624738	0.0070087	0.00661738
0.482917	0.00618752	0.00693865	0.00656231
0.485556	0.0061319	0.00688771	0.00650212
0.488194	0.0060998	0.00686086	0.00647156
0.490833	0.00604753	0.00679588	0.00641447
0.493472	0.00597759	0.00670678	0.00634185
0.496111	0.00594233	0.00668818	0.00631694
0.49875	0.00591034	0.00664571	0.00626517
0.501389	0.00584305	0.00657705	0.00620688
0.504028	0.00582841	0.00655159	0.00618937
0.506667	0.00576735	0.0064864	0.00611767
0.509306	0.00571864	0.00643078	0.00606827
0.511944	0.00566077	0.00637629	0.00601059
0.514583	0.00563065	0.00632355	0.00597652
0.517222	0.00556987	0.00627639	0.00591404
0.519861	0.00555217	0.00625857	0.0058958
0.5225	0.00548042	0.00618602	0.00583301
0.525139	0.00541034	0.00609531	0.00575215
0.527778	0.00535772	0.00604833	0.00570092
0.530417	0.00532894	0.00602165	0.00566678
0.533056	0.00524585	0.00594659	0.00559108
