Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	14.0756	14.241	14.4074	0.00014722	0.000160825	0.000175607
0.025	14.5748	14.7431	14.9124	0.000112619	0.000123196	0.000134704
0.05	15.0827	15.2539	15.4261	8.57943e-05	9.39815e-05	0.000102903
0.075	15.7153	15.8317	16.0071	6.31058e-05	6.9234e-05	7.36278e-05
0.1	16.1835	16.3608	16.5391	4.76561e-05	5.23563e-05	5.74935e-05
0.125	16.7184	16.8987	17.0799	3.58397e-05	3.9429e-05	4.33578e-05
0.15	17.323	17.5065	17.6909	2.59862e-05	2.86328e-05	3.15343e-05
0.175	18.1251	18.2501	18.3755	1.81377e-05	1.9372e-05	2.06862e-05
0.2	18.6909	18.8815	19.0091	1.30098e-05	1.39095e-05	1.53711e-05
0.225	19.073	19.2655	19.459	1.02784e-05	1.13742e-05	1.25811e-05
0.25	19.7184	19.9141	20.0452	7.56348e-06	8.09989e-06	8.97319e-06
0.275	20.3746	20.5735	20.7734	5.16957e-06	5.73848e-06	6.36703e-06
0.3	20.9072	21.0415	21.2436	4.04456e-06	4.49454e-06	4.82075e-06
0.325	21.7874	21.9245	22.0619	2.63997e-06	2.83597e-06	3.0459e-06
0.35	22.0619	22.2689	22.4769	2.12691e-06	2.37014e-06	2.63997e-06
0.375	22.8256	23.1065	23.2476	1.42425e-06	1.58985e-06	1.77387e-06
0.4	23.5311	23.7449	23.9596	9.83774e-07	1.09986e-06	1.22908e-06
0.425	24.1033	24.3196	24.4644	7.56956e-07	8.16027e-07	9.13033e-07
0.45	24.8282	25.0477	25.2683	4.98852e-07	5.59284e-07	6.26745e-07
0.475	25.4897	25.7122	25.861	3.669e-07	3.96314e-07	4.44741e-07
0.5	26.0103	26.16	26.3854	2.90758e-07	3.14264e-07	3.39599e-07
0.525	26.839	26.991	27.2199	1.81577e-07	2.04401e-07	2.29987e-07
0.55	27.4498	27.6036	27.7578	1.37494e-07	1.48903e-07	1.61226e-07
0.575	28.0675	28.3009	28.457	9.58005e-08	1.03848e-07	1.17157e-07
0.6	28.6921	28.928	29.0859	6.92387e-08	7.51172e-08	8.48507e-08
0.625	29.4029	29.5621	29.8016	4.78597e-08	5.41544e-08	5.8789e-08
0.65	30.0421	30.2836	30.4451	3.43455e-08	3.73277e-08	4.22768e-08
0.675	30.9322	31.1772	31.3411	2.16453e-08	2.35517e-08	2.67204e-08
0.7	31.4232	31.5877	31.7526	1.75112e-08	1.90635e-08	2.07491e-08
0.725	32.0838	32.2501	32.4167	1.24411e-08	1.35553e-08	1.47662e-08
0.75	32.7513	32.9193	33.172	8.8095e-09	9.60649e-09	1.04734e-08
0.775	33.5105	33.6804	33.8507	5.95068e-09	6.49514e-09	7.08794e-09
0.8	34.107	34.2784	34.4502	4.37292e-09	4.77653e-09	5.45071e-09
0.825	34.7952	34.9683	35.055	3.20526e-09	3.35123e-09	3.66284e-09
0.85	35.2287	35.4029	35.665	2.34336e-09	2.68085e-09	2.93165e-09
0.875	36.0159	36.1921	36.457	1.56068e-09	1.78797e-09	1.95709e-09
0.9	36.723	36.9008	37.0791	1.13434e-09	1.24293e-09	1.36164e-09
0.925	37.1684	37.3473	37.5266	9.01733e-10	9.8858e-10	1.08356e-09
0.95	37.7964	37.9769	38.2483	6.22919e-10	7.15888e-10	7.85247e-10
0.975	38.7028	38.8854	39.0684	4.09224e-10	4.49438e-10	4.935e-10
