Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	16.6586	16.8385	17.0194	3.70002e-05	4.06995e-05	4.47479e-05
0.025	17.1405	17.323	17.5065	2.86328e-05	3.15343e-05	3.47138e-05
0.05	17.5679	17.7526	17.9384	2.28176e-05	2.51569e-05	2.77233e-05
0.075	18.1875	18.3755	18.5644	1.64257e-05	1.81377e-05	2.00188e-05
0.1	18.7543	18.8815	19.073	1.25811e-05	1.39095e-05	1.48684e-05
0.125	19.1371	19.2655	19.459	1.02784e-05	1.13742e-05	1.21658e-05
0.15	19.7184	19.8488	20.0452	7.56348e-06	8.38155e-06	8.97319e-06
0.175	20.4408	20.64	20.7734	5.16957e-06	5.73848e-06	6.15053e-06
0.2	20.8403	21.0415	21.2436	4.04456e-06	4.49454e-06	4.99225e-06
0.225	21.5147	21.7191	21.9245	2.83597e-06	3.15638e-06	3.51134e-06
0.25	22.0619	22.2689	22.4769	2.12691e-06	2.37014e-06	2.63997e-06
0.275	22.5464	22.7556	22.8957	1.71037e-06	1.90774e-06	2.12691e-06
0.3	23.177	23.3892	23.5311	1.22908e-06	1.32321e-06	1.47752e-06
0.325	23.8879	24.1033	24.3196	8.16027e-07	9.13033e-07	1.02109e-06
0.35	24.392	24.6096	24.7552	6.50927e-07	7.02015e-07	7.85957e-07
0.375	25.0477	25.2683	25.4897	4.44741e-07	4.98852e-07	5.59284e-07
0.4	25.7122	25.9356	26.0851	3.26695e-07	3.52995e-07	3.96314e-07
0.425	26.235	26.4607	26.6117	2.48735e-07	2.68955e-07	3.02291e-07
0.45	26.991	27.1435	27.2964	1.74532e-07	1.88897e-07	2.04401e-07
0.475	27.5266	27.7578	27.9124	1.26932e-07	1.37494e-07	1.54946e-07
0.5	28.1452	28.3789	28.5353	9.20068e-08	1.03848e-07	1.12547e-07
0.525	28.7706	28.928	29.165	6.64691e-08	7.51172e-08	8.14778e-08
0.55	29.4824	29.6418	29.8016	4.78597e-08	5.19719e-08	5.64256e-08
0.575	30.0421	30.2836	30.4451	3.43455e-08	3.73277e-08	4.22768e-08
0.6	30.8507	31.0954	31.2591	2.2579e-08	2.45651e-08	2.78657e-08
0.625	31.4232	31.5877	31.8353	1.67818e-08	1.90635e-08	2.07491e-08
0.65	31.7526	32.0009	32.2501	1.41482e-08	1.54104e-08	1.75112e-08
0.675	32.6675	32.8353	33.0034	9.19961e-09	1.00308e-08	1.09349e-08
0.7	33.0034	33.172	33.3411	7.73323e-09	8.4355e-09	9.19961e-09
0.725	33.9361	34.107	34.2784	4.77653e-09	5.21629e-09	5.69536e-09
0.75	34.5363	34.7088	34.9683	3.35123e-09	3.82904e-09	4.18376e-09
0.775	35.2287	35.4029	35.5775	2.45098e-09	2.68085e-09	2.93165e-09
0.8	35.7526	35.928	36.104	1.87067e-09	2.0474e-09	2.24035e-09
0.825	36.457	36.6342	36.8119	1.30097e-09	1.42507e-09	1.56068e-09
0.85	37.1684	37.4369	37.6165	8.61146e-10	9.44183e-10	1.08356e-09
0.875	37.7064	37.8866	38.0672	6.83486e-10	7.49785e-10	8.22343e-10
0.9	38.1577	38.4298	38.6117	5.17085e-10	5.676e-10	6.52517e-10
0.925	38.6117	38.794	38.9768	4.28871e-10	4.70966e-10	5.17085e-10
0.95	39.7122	39.8971	40.0825	2.43463e-10	2.67697e-10	2.94282e-10
0.975	39.9897	40.1753	40.3613	2.1108e-10	2.32164e-10	2.553e-10
