Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	27.878	28.0454	28.2513	7.15352e-07	7.77098e-07	8.30857e-07
0.025	27.7383	27.9315	28.133	7.50374e-07	8.13064e-07	8.77287e-07
0.05	28.0358	28.2205	28.4157	6.70116e-07	7.24295e-07	7.79228e-07
0.075	28.231	28.4003	28.5605	6.32798e-07	6.75003e-07	7.2245e-07
0.1	28.2456	28.4453	28.625	6.16945e-07	6.62422e-07	7.17202e-07
0.125	28.6459	28.8472	29.0087	5.31253e-07	5.65327e-07	6.12372e-07
0.15	28.7067	28.8754	29.0616	5.19332e-07	5.59802e-07	5.9757e-07
0.175	28.8305	28.9804	29.1791	4.96494e-07	5.36136e-07	5.69109e-07
0.2	29.126	29.3202	29.5264	4.32575e-07	4.69612e-07	5.06642e-07
0.225	29.431	29.6276	29.803	3.88276e-07	4.15863e-07	4.49031e-07
0.25	29.6777	29.8743	30.089	3.47082e-07	3.77796e-07	4.0803e-07
0.275	29.7652	29.9976	30.1606	3.38084e-07	3.60084e-07	3.93939e-07
0.3	29.9564	30.1424	30.3379	3.14877e-07	3.40164e-07	3.65598e-07
0.325	30.1903	30.3705	30.5506	2.9008e-07	3.11186e-07	3.33502e-07
0.35	30.3343	30.5417	30.746	2.68708e-07	2.91023e-07	3.15519e-07
0.375	30.6385	30.8379	31.0261	2.41699e-07	2.59466e-07	2.80114e-07
0.4	30.6404	30.8496	31.0408	2.39837e-07	2.5878e-07	2.79911e-07
0.425	30.816	30.9867	31.1919	2.26147e-07	2.44859e-07	2.6193e-07
0.45	31.0384	31.2041	31.4042	2.08252e-07	2.25266e-07	2.39879e-07
0.475	31.3405	31.5179	31.703	1.85624e-07	1.99419e-07	2.13549e-07
0.5	31.5863	31.7893	31.9882	1.66766e-07	1.79649e-07	1.9444e-07
0.525	31.7462	31.9588	32.131	1.57597e-07	1.68491e-07	1.82802e-07
0.55	31.7985	31.9658	32.1647	1.55521e-07	1.67787e-07	1.79072e-07
0.575	32.1973	32.3623	32.5411	1.34772e-07	1.44172e-07	1.53622e-07
0.6	32.3056	32.5035	32.6706	1.2833e-07	1.36617e-07	1.4737e-07
0.625	32.4975	32.6568	32.8457	1.19864e-07	1.28875e-07	1.37059e-07
0.65	32.8357	33.061	33.2603	1.02918e-07	1.1042e-07	1.20443e-07
0.675	32.9411	33.1544	33.3803	9.78322e-08	1.06687e-07	1.15625e-07
0.7	33.1876	33.3852	33.5413	9.20168e-08	9.76605e-08	1.05299e-07
0.725	33.3079	33.5226	33.7364	8.54633e-08	9.27129e-08	1.00512e-07
0.75	33.4045	33.5961	33.7977	8.35339e-08	9.01268e-08	9.69764e-08
0.775	33.6817	33.882	34.0632	7.57805e-08	8.09965e-08	8.73037e-08
0.8	33.9743	34.1576	34.308	6.88896e-08	7.29108e-08	7.816e-08
0.825	33.9928	34.1819	34.3695	6.73228e-08	7.22872e-08	7.76123e-08
0.85	34.4548	34.6443	34.8541	5.62129e-08	6.07294e-08	6.53275e-08
0.875	34.6519	34.8576	35.0555	5.20633e-08	5.60764e-08	6.0538e-08
0.9	34.8834	35.0756	35.2972	4.75629e-08	5.16913e-08	5.57313e-08
0.925	34.8385	35.0581	35.2694	4.8057e-08	5.19975e-08	5.6448e-08
0.95	35.186	35.4083	35.5991	4.25228e-08	4.56397e-08	4.96169e-08
0.975	35.6683	35.886	36.0832	3.5514e-08	3.81916e-08	4.14272e-08
