Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	26.9161	27.1059	27.2687	1.05853e-06	1.12993e-06	1.21932e-06
0.025	27.3636	27.5528	27.7134	8.87629e-07	9.45045e-07	1.01924e-06
0.05	27.48	27.6555	27.8294	8.46076e-07	9.07356e-07	9.73253e-07
0.075	27.9515	28.1538	28.338	6.91292e-07	7.43852e-07	8.06829e-07
0.1	28.1877	28.3581	28.5458	6.37674e-07	6.8589e-07	7.34188e-07
0.125	28.3447	28.5244	28.7475	5.88366e-07	6.42649e-07	6.91226e-07
0.15	28.5887	28.7467	28.9347	5.46293e-07	5.88168e-07	6.264e-07
0.175	28.816	28.9915	29.1617	4.9907e-07	5.34081e-07	5.7217e-07
0.2	29.3133	29.4809	29.6727	4.0864e-07	4.40208e-07	4.70873e-07
0.225	29.6217	29.8103	29.997	3.59757e-07	3.87443e-07	4.16698e-07
0.25	29.7196	29.9272	30.1144	3.43828e-07	3.70097e-07	4.01973e-07
0.275	30.3222	30.5081	30.7191	2.71802e-07	2.94678e-07	3.17201e-07
0.3	30.3432	30.5391	30.7117	2.72555e-07	2.91638e-07	3.14332e-07
0.325	30.3577	30.5619	30.7493	2.68319e-07	2.88713e-07	3.12962e-07
0.35	31.1011	31.2578	31.482	2.02144e-07	2.20454e-07	2.34627e-07
0.375	31.3095	31.4688	31.6527	1.89347e-07	2.03269e-07	2.16523e-07
0.4	31.5518	31.7685	31.9721	1.67408e-07	1.81205e-07	1.96869e-07
0.425	31.9767	32.1306	32.3233	1.46394e-07	1.57602e-07	1.67236e-07
0.45	32.2701	32.4912	32.6716	1.28166e-07	1.37323e-07	1.49306e-07
0.475	32.3712	32.5504	32.7581	1.24006e-07	1.34177e-07	1.4387e-07
0.5	32.7999	33.0164	33.2417	1.03087e-07	1.12327e-07	1.22045e-07
0.525	33.0765	33.3333	33.5504	9.17136e-08	9.95877e-08	1.09884e-07
0.55	33.298	33.5059	33.6973	8.67762e-08	9.33699e-08	1.00891e-07
0.575	33.505	33.6759	33.8581	8.16986e-08	8.74674e-08	9.32849e-08
0.6	33.9531	34.1626	34.3926	6.67864e-08	7.27996e-08	7.87634e-08
0.625	34.2528	34.4843	34.7486	5.84841e-08	6.45551e-08	7.03296e-08
0.65	34.4856	34.6609	34.8855	5.54577e-08	6.03497e-08	6.45145e-08
0.675	34.7766	34.9853	35.1711	4.98519e-08	5.34462e-08	5.78598e-08
0.7	35.2955	35.5283	35.7017	4.09316e-08	4.3637e-08	4.77388e-08
0.725	35.541	35.7403	36.0318	3.62625e-08	4.03201e-08	4.34407e-08
0.75	35.9582	36.1219	36.3654	3.19889e-08	3.50309e-08	3.72258e-08
0.775	36.119	36.306	36.4934	3.05124e-08	3.26987e-08	3.50456e-08
0.8	36.3834	36.5694	36.7999	2.72699e-08	2.96556e-08	3.17829e-08
0.825	36.7165	36.919	37.1205	2.42143e-08	2.60922e-08	2.8124e-08
0.85	37.0237	37.2231	37.4678	2.13191e-08	2.33131e-08	2.50837e-08
0.875	37.3031	37.5399	37.7619	1.91466e-08	2.07987e-08	2.26421e-08
0.9	37.6972	37.9359	38.1615	1.65474e-08	1.79773e-08	1.9595e-08
0.925	37.9159	38.1163	38.3129	1.56614e-08	1.68241e-08	1.80951e-08
0.95	38.1481	38.3558	38.5865	1.41853e-08	1.54188e-08	1.66294e-08
0.975	38.6618	38.8624	39.0813	1.18597e-08	1.28238e-08	1.37893e-08
