Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	23.804	24.0071	24.1914	3.70317e-06	3.99918e-06	4.34374e-06
0.025	24.3147	24.4931	24.7081	2.99686e-06	3.26637e-06	3.51716e-06
0.05	24.7004	24.9048	25.1127	2.53339e-06	2.75841e-06	3.0006e-06
0.075	25.1121	25.315	25.5662	2.10581e-06	2.33627e-06	2.53721e-06
0.1	25.7012	25.9091	26.1189	1.68196e-06	1.83284e-06	1.99371e-06
0.125	26.1202	26.3186	26.5397	1.42085e-06	1.55216e-06	1.68185e-06
0.15	26.8949	27.0978	27.308	1.04316e-06	1.13355e-06	1.23075e-06
0.175	27.2014	27.3837	27.5978	9.28129e-07	1.01196e-06	1.0879e-06
0.2	27.8753	28.0657	28.2721	7.09512e-07	7.70526e-07	8.31218e-07
0.225	28.2655	28.4544	28.677	6.0532e-07	6.60338e-07	7.11691e-07
0.25	28.9814	29.1866	29.3724	4.59944e-07	4.94375e-07	5.36148e-07
0.275	29.1732	29.3959	29.631	4.159e-07	4.58369e-07	4.9814e-07
0.3	29.8529	30.0479	30.227	3.29463e-07	3.52732e-07	3.8053e-07
0.325	30.4534	30.6152	30.8258	2.60642e-07	2.82966e-07	3.01526e-07
0.35	31.0169	31.2603	31.494	2.01369e-07	2.20207e-07	2.42191e-07
0.375	31.5844	31.8014	31.9919	1.66118e-07	1.78724e-07	1.94312e-07
0.4	32.3497	32.6247	32.8762	1.18454e-07	1.30451e-07	1.45053e-07
0.425	32.7383	32.944	33.1348	1.07343e-07	1.15509e-07	1.24871e-07
0.45	33.2117	33.4325	33.6394	8.86567e-08	9.59358e-08	1.04254e-07
0.475	33.7243	33.9485	34.1709	7.25515e-08	7.89467e-08	8.59645e-08
0.5	34.2004	34.4762	34.7132	5.92144e-08	6.48349e-08	7.17712e-08
0.525	34.9215	35.1801	35.4086	4.56221e-08	4.96833e-08	5.47214e-08
0.55	35.5935	35.8226	36.084	3.55173e-08	3.91635e-08	4.2581e-08
0.575	36.3268	36.5692	36.797	2.73032e-08	2.96732e-08	3.2495e-08
0.6	36.7822	37.021	37.2325	2.32316e-08	2.51227e-08	2.74268e-08
0.625	37.2317	37.485	37.7021	1.95682e-08	2.11812e-08	2.32523e-08
0.65	37.8263	38.0502	38.3022	1.5737e-08	1.7238e-08	1.86917e-08
0.675	38.5205	38.7517	38.9935	1.22432e-08	1.33497e-08	1.45246e-08
0.7	39.1152	39.4083	39.6494	9.66391e-09	1.05288e-08	1.17161e-08
0.725	39.9724	40.2293	40.4743	7.18699e-09	7.84184e-09	8.597e-09
0.75	40.4956	40.7436	40.9941	5.96415e-09	6.51953e-09	7.13483e-09
0.775	41.2778	41.5412	41.7752	4.52232e-09	4.92115e-09	5.3901e-09
0.8	41.8861	42.134	42.3948	3.63962e-09	3.98025e-09	4.34435e-09
0.825	42.3941	42.6221	42.8983	3.04153e-09	3.35133e-09	3.63414e-09
0.85	42.8731	43.133	43.3539	2.59595e-09	2.80173e-09	3.07276e-09
0.875	43.7409	44.0146	44.2677	1.88708e-09	2.06124e-09	2.26531e-09
0.9	44.1988	44.3972	44.6191	1.66971e-09	1.80425e-09	1.93477e-09
0.925	44.7178	44.9879	45.2449	1.34598e-09	1.47001e-09	1.61451e-09
0.95	45.6761	45.928	46.1728	9.78193e-10	1.06456e-09	1.15985e-09
0.975	46.1555	46.4132	46.6556	8.29457e-10	9.03307e-10	9.83978e-10
