Parameter	Lower_CI	Upper_CI	Median_CI
183	0.903116	0.925312	0.914258
184	0.906614	0.928932	0.917718
185	0.912582	0.934846	0.923823
186	0.918052	0.940009	0.92926
187	0.923175	0.945168	0.934236
188	0.929141	0.951318	0.940116
189	0.932852	0.955445	0.944236
190	0.938438	0.961302	0.950006
191	0.942915	0.965779	0.954152
192	0.947101	0.969891	0.958315
193	0.951504	0.974805	0.963251
194	0.958469	0.980808	0.969572
195	0.963408	0.986572	0.974863
196	0.968401	0.991428	0.979653
197	0.971866	0.994851	0.983317
198	0.977154	1.0005	0.988891
199	0.98156	1.00525	0.993369
200	0.98787	1.01177	0.999963
201	0.992397	1.01665	1.00462
202	0.998293	1.02171	1.0102
203	1.00199	1.02591	1.01387
204	1.0063	1.03075	1.01843
205	1.01197	1.03695	1.02451
206	1.0171	1.04176	1.02962
207	1.02252	1.0476	1.03486
208	1.02863	1.05311	1.04064
209	1.03192	1.0568	1.04432
210	1.03484	1.05982	1.04732
211	1.04083	1.06562	1.0532
212	1.04644	1.07139	1.05897
213	1.05315	1.07879	1.06589
214	1.05709	1.08245	1.06976
215	1.06193	1.08713	1.07445
216	1.06675	1.09179	1.07921
217	1.06977	1.09517	1.08251
218	1.07612	1.10196	1.08887
219	1.08177	1.10752	1.09473
220	1.08671	1.1124	1.09954
221	1.09221	1.1182	1.10532
222	1.09581	1.12144	1.10861
223	1.10189	1.12765	1.11472
224	1.10509	1.13187	1.11854
225	1.11158	1.13841	1.12507
226	1.11627	1.14372	1.12984
227	1.12259	1.14953	1.13617
228	1.12562	1.15287	1.13925
229	1.13095	1.15774	1.14434
230	1.13553	1.16221	1.14883
231	1.14143	1.16863	1.1551
232	1.14671	1.1739	1.16023
233	1.15159	1.17951	1.16538
234	1.15465	1.18167	1.16825
235	1.15947	1.18661	1.17309
236	1.16455	1.19264	1.17857
237	1.17005	1.19774	1.18389
238	1.17578	1.20382	1.18988
239	1.18037	1.20834	1.19451
240	1.18617	1.2146	1.20026
241	1.18931	1.21769	1.20359
242	1.19419	1.2229	1.20864
243	1.19908	1.22781	1.2135
244	1.20564	1.23431	1.21985
245	1.20978	1.23881	1.2242
246	1.21624	1.24521	1.23082
247	1.21956	1.24823	1.23397
248	1.22377	1.25316	1.23847
249	1.23034	1.25951	1.2448
250	1.2334	1.26207	1.24777
251	1.24045	1.26972	1.25524
252	1.24463	1.27424	1.2595
253	1.25108	1.28042	1.26547
254	1.25381	1.28333	1.26856
255	1.25827	1.28901	1.27392
256	1.26571	1.29461	1.28031
257	1.27031	1.29993	1.28512
258	1.27561	1.30584	1.29076
259	1.27798	1.30824	1.29323
260	1.28308	1.31357	1.29836
261	1.28901	1.32023	1.30477
262	1.29357	1.32482	1.30922
263	1.29997	1.33012	1.31508
264	1.30378	1.33485	1.31913
265	1.30869	1.33964	1.32427
266	1.31438	1.34509	1.32953
267	1.31754	1.34834	1.33307
268	1.32272	1.3548	1.33863
269	1.32824	1.35935	1.34378
270	1.33414	1.36535	1.34958
271	1.34047	1.37168	1.35576
272	1.34335	1.37497	1.35921
273	1.34692	1.3794	1.36339
274	1.35291	1.38405	1.36853
275	1.35754	1.38982	1.37378
276	1.36489	1.39727	1.38093
277	1.36843	1.401	1.3847
278	1.37335	1.40558	1.38965
279	1.37764	1.41033	1.3936
280	1.38269	1.41526	1.39884
281	1.38885	1.42132	1.40487
282	1.39281	1.42542	1.40897
283	1.39794	1.43069	1.41444
